GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pakcatt,pakcatt.dependencies,Configuration,139,0,0,0,28,0,24,0,24,0
pakcatt,pakcatt.dependencies,Beans,0,7,0,0,0,2,0,2,0,2
pakcatt,pakcatt.network.tcp,TCPService.commandServerFlow.new GenericHandler() {...},10,0,0,0,2,0,1,0,1,0
pakcatt,pakcatt.network.tcp,TCPService,56,0,0,0,14,0,4,0,4,0
pakcatt,pakcatt.application.mailbox.edit,EditBodyApp,69,0,2,0,10,0,4,0,3,0
pakcatt,pakcatt.application.mailbox.edit,EditSubjectApp,40,0,0,0,4,0,3,0,3,0
pakcatt,pakcatt.network.radio.protocol.aprs,APRSService,90,156,11,12,13,27,10,10,0,6
pakcatt,pakcatt.application.bulletinboard.edit,ReadThreadApp.new Function1() {...},8,0,0,0,1,0,1,0,1,0
pakcatt,pakcatt.application.bulletinboard.edit,ReadThreadApp.new Function1() {...},0,8,0,0,0,1,0,1,0,1
pakcatt,pakcatt.application.bulletinboard.edit,ReadThreadApp.new Function1() {...},0,8,0,0,0,1,0,1,0,1
pakcatt,pakcatt.application.bulletinboard.edit,ReadThreadApp,28,449,3,11,4,55,4,10,1,6
pakcatt,pakcatt.application.bulletinboard.edit,AddThreadApp,54,0,0,0,8,0,3,0,3,0
pakcatt,pakcatt.application.bulletinboard.edit,AddPostApp,85,0,4,0,14,0,5,0,3,0
pakcatt,pakcatt.application.filter,MentionOutputFilter,5,70,2,2,0,9,2,2,0,2
pakcatt,pakcatt.application.filter,EOLOutputFilter,0,20,1,1,0,6,1,2,0,2
pakcatt,pakcatt.application.filter,EOLInputFilter,0,65,1,3,0,16,1,6,0,5
pakcatt,pakcatt.application.bulletinboard,BulletinBoardApp,32,298,3,5,3,37,4,6,1,5
pakcatt,pakcatt.application.bulletinboard,BulletinBoardApp.new Function1() {...},0,7,0,0,0,1,0,1,0,1
pakcatt,pakcatt.application.bulletinboard,BulletinBoardApp.new Function1() {...},8,0,0,0,1,0,1,0,1,0
pakcatt,pakcatt.application.bulletinboard,BulletinBoardApp.new Function1() {...},0,8,0,0,0,1,0,1,0,1
pakcatt,pakcatt.application.scriptable,ScriptableApp,108,285,11,17,11,36,12,11,2,6
pakcatt,pakcatt.application.tell,TellApp,88,0,0,0,7,0,3,0,3,0
pakcatt,pakcatt.application.settings,SettingsApp.new Function1() {...},0,8,0,0,0,1,0,1,0,1
pakcatt,pakcatt.application.settings,SettingsApp,6,92,1,5,1,13,1,7,0,4
pakcatt,pakcatt.network.radio.protocol.aprs.model,APRSMessageFrame,32,488,16,18,4,74,16,17,0,16
pakcatt,pakcatt.network.radio.protocol.aprs.model,APRSDataType,0,324,0,0,0,29,0,3,0,3
pakcatt,pakcatt.network.radio.protocol.aprs.model,APRSMicEDataFrame,465,1411,63,62,56,128,53,58,4,35
pakcatt,pakcatt.network.radio.protocol.aprs.model,APRSQueue,28,19,0,0,6,5,1,2,1,2
pakcatt,pakcatt.network.radio.protocol.aprs.model,APRSStatusFrame,297,1051,47,47,22,67,35,22,1,9
pakcatt,pakcatt.network.radio.protocol.aprs.model,HeadingAndERP,6,9,0,0,1,1,2,1,2,1
pakcatt,pakcatt.network.radio.protocol.aprs.model,APRSFrame,12,214,12,16,0,26,12,10,0,8
pakcatt,pakcatt.application.beacon,BeaconApp,2,76,1,3,1,10,2,5,1,4
